word,definition
abas,a loose sleeveless outer garment made from aba cloth; worn by Arabs
abed,in bed
abel,Norwegian mathematician (1802-1829)
abet,"assist or encourage, usually in some wrongdoing"
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
ably,with competence; in a competent capable manner
abut,lie adjacent to another or share a boundary
acer,type genus of the Aceraceae; trees or shrubs having winged fruit
ache,a dull persistent (usually moderately intense) pain
achy,causing a dull and steady pain
acid,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
acme,the highest level or degree attainable; the highest stage of development
acne,an inflammatory disease involving the sebaceous glands of the skin; characterized by papules or pustules or comedones
acre,a unit of area (4840 square yards) used in English-speaking countries
acts,a New Testament book describing the development of the early church from Christ's Ascension to Paul's sojourn at Rome
acyl,any group or radical of the form RCO- where R is an organic group
adad,Babylonian god of storms and wind
adam,(Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race
adar,the sixth month of the civil year; the twelfth month of the ecclesiastic year in the Jewish calendar (in February and March)
adit,a nearly horizontal passage from the surface into a mine
adze,an edge tool used to cut and shape wood
aeon,(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe
aery,the lofty nest of a bird of prey (such as a hawk or eagle)
afar,(old-fashioned) at or from or to a great distance; far
agal,a cord (usually of goat's hair) that Arabs (especially Bedouins) wind around their heads to hold down the kaffiyeh
agar,any culture medium that uses agar as the gelling agent
aged,people who are old collectively
agee,United States novelist (1909-1955)
agha,title for a civil or military leader (especially in Turkey)
agio,a fee charged for exchanging currencies
agog,highly excited
agon,a festivity in ancient Greece at which competitors contended for prizes
agra,a city in northern India; former capital of the Mogul empire; site of the Taj Mahal
agua,largest known toad species; native to Central America; valuable destroyer of insect pests
ague,a fit of shivering or shaking
ahem,"the utterance of a sound similar to clearing the throat; intended to get attention, express hesitancy, fill a pause, hide embarrassment, warn a friend, etc."
aide,an officer who acts as military assistant to a more senior officer
aire,a river in northern England that flows southeast through West Yorkshire
airt,channel into a new direction
airy,open to or abounding in fresh air
ajar,slightly open
akan,a Kwa language spoken in Ghana and the Ivory Coast
akee,widely cultivated in tropical and subtropical regions for its fragrant flowers and colorful fruits; introduced in Jamaica by William Bligh
akha,a Loloish language
akin,similar in quality or character
akka,a town and port in northwestern Israel in the eastern Mediterranean
alar,a chemical sprayed on fruit trees to regulate their growth so the entire crop can be harvested at one time
alas,a flat wing-shaped process or winglike part of an organism
alca,type genus of the Alcidae comprising solely the razorbill
alee,on or toward the lee
alga,primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
alky,a person who drinks alcohol to excess habitually
ally,a friendly nation
alms,money or goods contributed to the poor
aloe,succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa
also,in addition
alto,a singer whose voice lies in the alto clef
alum,a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
amah,a woman hired to suckle a child of someone else
ambo,a platform raised above the surrounding level to give prominence to the person on it
amen,a primeval Egyptian personification of air and breath; worshipped especially at Thebes
amex,a stock exchange in New York
amia,type genus of the Amiidae
amir,an independent ruler or chieftain (especially in Africa or Arabia)
ammo,projectiles to be fired from a gun
amok,frenzied as if possessed by a demon
amor,(Roman mythology) god of love; counterpart of Greek Eros
amos,a Hebrew shepherd and minor prophet
amoy,any of the forms of Chinese spoken in Fukien province
amyl,a hydrocarbon radical that occurs in many organic compounds
anal,of or related to the anus
anas,type genus of the Anatidae: freshwater ducks
anew,again but in a new or different way
anil,a blue dye obtained from plants or made synthetically
anis,black tropical American cuckoo
anna,a former copper coin of Pakistan and India
anne,Queen of England and Scotland and Ireland; daughter if James II and the last of the Stuart monarchs; in 1707 she was the last English ruler to exercise the royal veto over parliament (1665-1714)
anoa,small buffalo of the Celebes having small straight horns
anon,at another time
ante,(poker) the initial contribution that each player makes to the pot
anti,a person who is opposed (to an action or policy or practice etc.)
anus,the excretory opening at the end of the alimentary canal
apar,South American armadillo with three bands of bony plates
aper,someone who copies the words or behavior of another
apex,the highest point (of something)
apis,type genus of the Apidae: honeybees
apse,a domed or vaulted recess or projection on a building especially the east end of a church; usually contains the altar
apus,a constellation in the polar region of the southern hemisphere near Octans
aqua,a shade of blue tinged with green
arab,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa
arca,type genus of the family Arcidae: ark shells and blood clams
arch,a curved shape in the vertical plane that spans an opening
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
aren,
argo,formerly a large constellation in the southern hemisphere between Canis Major and the Southern Cross; now divided into Carina and Pyxis and Puppis and Vela
aria,an elaborate song for solo voice
arid,lacking sufficient water or rainfall
aril,fleshy and usually brightly colored cover of some seeds that develops from the ovule stalk and partially or entirely envelopes the seed
arms,weapons considered collectively
army,a permanent organization of the military land forces of a nation or state
arse,the fleshy part of the human body that you sit on
arty,showily imitative of art or artists
arui,wild sheep of northern Africa
arum,starch resembling sago that is obtained from cuckoopint root
asci,saclike structure in which ascospores are formed through sexual reproduction of ascomycetes
ashy,of a light grey
aten,the sun (or solar disc) which was the deity of a monotheistic cult under the Pharaoh Akhenaten
ates,goddess of criminal rashness and its punishment
atom,(physics and chemistry) the smallest component of an element having the chemical properties of the element
atop,"on, to, or at the top"
auld,a Scottish word
aunt,the sister of your father or mother; the wife of your uncle
aura,a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
auto,a motor vehicle with four wheels; usually propelled by an internal combustion engine
aver,report or maintain
aves,(ornithology) the class of birds
avid,(often followed by `for') ardently or excessively desirous
avow,to declare or affirm solemnly and formally as true
away,not present; having left
awny,having awns i.e. bristlelike or hairlike appendages on the flowering parts of some cereals and grasses
awol,one who is away or absent without leave
awry,turned or twisted toward one side; - G.K.Chesterton
axed,chop or split with an ax
axes,an edge tool with a heavy bladed head mounted across a handle
axil,the upper angle between an axis and an offshoot such as a branch or leafstalk
axis,a straight line through a body or figure that satisfies certain conditions
axle,a shaft on which a wheel rotates
axon,long nerve fiber that conducts away from the cell body of the neuron
ayah,(in India) a native nursemaid who looks after children
ayin,the 16th letter of the Hebrew alphabet
baal,any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god
baba,a small cake leavened with yeast
babe,a very young child (birth to 1 year) who has not yet begun to walk or talk
babu,used as a Hindi courtesy title; equivalent to English `Mr'
baby,a very young child (birth to 1 year) who has not yet begun to walk or talk
bach,German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)
back,the posterior part of a human (or animal) body from the neck to the end of the spine
bade,a Chadic language spoken in northern Nigeria
baht,the basic unit of money in Thailand
bail,(criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial
bais,the Tibeto-Burman language spoken in the Dali region of Yunnan
bait,anything that serves as an enticement
bake,cook and make edible by putting in a hot oven
baku,a port city on the Caspian Sea that is the capital of Azerbaijan and an important center for oil production
bald,grow bald; lose hair on one's head
bale,a large bundle bound for storage or transport
bali,an island in Indonesia to the east of Java; striking volcanic scenery; culture is known for elaborate dances and rituals and for handicrafts
balk,the area on a billiard table behind the balkline
ball,round object that is hit or thrown or kicked in games
balm,any of various aromatic resinous substances used for healing and soothing
band,an unofficial association of people or groups
bane,something causing misery or death
bang,a vigorous blow
bani,a decree that prohibits something
bank,sloping land (especially the slope beside a body of water)
barb,an aggressive remark directed at a person like a missile and intended to have a telling effect
bard,a lyric poet
bare,lay bare
bari,capital city of the Apulia region on the Adriatic coast
bark,tough protective covering of the woody stems and roots of trees and other woody plants
barm,a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey
barn,an outlying farm building for storing grain or animal feed and housing farm animals
bart,a member of the British order of honor; ranks below a baron but above a knight
base,installation from which a military force initiates operations
bash,a vigorous blow
bask,derive or receive pleasure from; get enjoyment from; take pleasure in
bass,the lowest part of the musical range
bast,strong woody fibers obtained especially from the phloem of from various plants
bate,moderate or restrain; lessen the force of
bath,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
bats,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
baud,(computer science) a data transmission rate (bits/second) for modems
bawd,a woman who engages in sexual intercourse for money
bawl,shout loudly and without restraint
baya,common Indian weaverbird
bead,a small ball with a hole through the middle
beak,"beaklike mouth of animals other than birds (e.g., turtles)"
beam,a signal transmitted along a narrow path; guides airplane pilots in darkness or bad weather
bean,any of various edible seeds of plants of the family Leguminosae used for food
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
beat,a regular route for a sentry or policeman
beau,a man who is the lover of a girl or young woman
beck,a beckoning gesture
beef,cattle that are reared for their meat
been,"have the quality of being; (copula, used with an adjective or a predicate noun)"
beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
bees,any of numerous hairy-bodied insects including social and solitary species
beet,biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop
bell,a hollow device made of metal that makes a ringing sound when struck
belt,endless loop of flexible material between two rotating shafts or pulleys
bema,area around the altar of a church for the clergy and choir; often enclosed by a lattice or railing
bend,a circular segment of a curve
bent,a relatively permanent inclination to react in a particular way
berg,a large mass of ice floating at sea; usually broken off of a polar glacier
berm,a narrow ledge or shelf typically at the top or bottom of a slope
bern,the capital of Switzerland; located in western Switzerland
best,the supreme effort one can make
beta,the 2nd letter of the Greek alphabet
beth,the 2nd letter of the Hebrew alphabet
bevy,a large gathering of people of a particular type
bias,a partiality that prevents objective consideration of an issue or situation
bide,dwell
bier,a coffin along with its stand
biff,(boxing) a blow with the fist
bike,a motor vehicle with two wheels and a strong frame
bile,a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
bilk,"cheat somebody out of what is due, especially money"
bill,a statute in draft before it becomes law
bind,something that hinders as if with bonds
bine,European twining plant whose flowers are used chiefly to flavor malt liquors; cultivated in America
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
birl,cause a floating log to rotate by treading
birr,the basic unit of money in Ethiopia; equal to 100 cents
bite,a wound resulting from biting by an animal or a person
bitt,a strong post (as on a wharf or quay or ship for attaching mooring lines)
blab,divulge confidential information or secrets
blae,of bluish-black or grey-blue
blah,pompous or pretentious talk or writing
blat,cry plaintively
bleb,(pathology) an elevation of the skin filled with serous fluid
blip,a sudden minor shock or meaningless interruption
blob,an indistinct shapeless form
bloc,a group of countries in special alliance
blot,a blemish made by dirt
blow,a powerful stroke with the fist or a weapon
blub,cry or whine with snuffling
blue,blue color or pigment; resembling the color of the clear sky in the daytime
blur,a hazy or indistinct representation
boar,Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
boat,a small vessel for travel on water
bock,a very strong lager traditionally brewed in the fall and aged through the winter for consumption in the spring
bode,indicate by signs
body,"the entire structure of an organism (an animal, plant, or human being)"
boer,a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans
bogy,an unidentified (and possibly enemy) aircraft
boil,a painful sore with a hard core filled with pus
bola,a cord fastened around the neck with an ornamental clasp and worn as a necktie
bold,a typeface with thick heavy lines
bole,a soft oily clay used as a pigment (especially a reddish brown pigment)
boll,the rounded seed-bearing capsule of a cotton or flax plant
bolo,a cord fastened around the neck with an ornamental clasp and worn as a necktie
bolt,a discharge of lightning accompanied by thunder
bomb,an explosive device fused to explode under specific conditions
bond,an electrical force linking atoms
bone,rigid connective tissue that makes up the skeleton of vertebrates
bong,a dull resonant sound as of a bell
bonk,have sexual intercourse with
bony,very thin especially from disease or hunger or cold
boob,an ignorant or foolish person
book,a written work or composition that has been published (printed on pages bound together)
boom,a deep prolonged loud noise
boon,a desirable state
boor,a crude uncouth ill-bred person lacking culture or refinement
boot,footwear that covers the whole foot and lower leg
bore,a person who evokes boredom
born,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
bosc,greenish-yellow pear
bose,Indian physicist who with Albert Einstein proposed statistical laws based on the indistinguishability of particles; led to the description of fundamental particles that later came to be known as bosons
bosh,pretentious or silly talk or writing
bosk,a small wooded area
boss,a person who exercises control over workers
bota,a wine bottle made of leather
both,(used with count nouns) two considered together; the two
bout,(sports) a division during which one team is on the offensive
bowl,a round vessel that is open at the top; used chiefly for holding food or liquids
boxy,resembling a box in rectangularity
bozo,a man who is a stupid incompetent fool
brad,a small nail
brae,a slope or hillside
brag,an instance of boastful talk
bran,broken husks of the seeds of cereal grains that are separated from the flour by sifting
brat,a very troublesome child
braw,brightly colored and showy
bray,the cry of an ass
bred,call forth
brew,drink made by steeping and boiling and fermenting rather than distilling
brig,two-masted sailing vessel square-rigged on both masts
brim,the top edge of a vessel or other container
brit,a native or inhabitant of Great Britain
brow,the part of the face above the eyes
brut,(of champagne) extremely dry
bubo,a lymph node that is inflamed and swollen because of plague or gonorrhea or tuberculosis
buck,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting
buff,an ardent follower and admirer
bufo,any toad of the genus Bufo
buhl,an inlaid furniture decoration; tortoiseshell and yellow and white metal form scrolls in cabinetwork
bulb,a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
bulk,the property resulting from being or relating to the greater in number of two parts; the main part
bull,uncastrated adult male of domestic cattle
bump,a lump on the body caused by a blow
buna,made by polymerizing butadiene
bung,a plug used to close a hole in a barrel or flask
bunk,a long trough for feeding cattle
bunt,(baseball) the act of hitting a baseball lightly without swinging the bat
buoy,bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards
burg,colloquial American term for a town
burl,the wood cut from a tree burl or outgrowth; often used decoratively in veneer
burn,pain that feels hot as if it were on fire
burp,a reflex that expels gas noisily from the stomach through the mouth
burr,seed vessel having hooks or prickles
burt,English psychologist whose studies of twins were later said to have used fabricated data (1883-1971)
bury,cover from sight
bush,a low woody perennial plant usually having several major stems
busk,play music in a public place and solicit money for it
buss,the act of caressing with the lips (or an instance thereof)
bust,a complete failure
busy,keep busy with
butt,thick end of the handle
buzz,sound of rapid vibration
byre,a barn for cows
cage,an enclosure made or wire or metal bars in which birds or animals can be kept
cain,(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out of jealousy and was exiled by God
cake,a block of solid substance (such as soap or wax)
calf,young of domestic cattle
calk,a metal cleat on the bottom front of a horseshoe to prevent slipping
call,a telephone connection
calm,steadiness of mind under stress
calx,a white crystalline oxide used in the production of calcium hydroxide
came,"move toward, travel toward something or somebody or approach something or somebody"
camp,temporary living quarters specially built by the army for soldiers
cane,a stick that people can lean on to help them walk
cant,stock phrases that have become nonsense through endless repetition
cape,a strip of land projecting into a body of water
card,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
care,the work of providing treatment for or attending to someone or something
cark,disturb in mind or make uneasy or cause to be worried or alarmed
